DOI,Journal,Year,Material,Material_Class,Doping,Gas,DFT_Software,Functional,Adsorption_Energy_eV,Charge_Transfer_e,Adsorption_Distance_A,Bandgap_Before_eV,Bandgap_After_eV,Bandgap_Change_eV,WorkFunction_Before_eV,WorkFunction_After_eV,WorkFunction_Change_eV,Sensitivity,Selectivity,Response_Time,Recovery_Time,Detection_Limit,Gas_MolecularWeight,Gas_XLogP,Gas_TPSA,Gas_HeavyAtomCount,Gas_HBondDonorCount,Gas_HBondAcceptorCount,Mat_Group,Mat_Layers,Mat_MetalFraction
10.1039/D4CP04127E,Physical Chemistry Chemical Physics,2025,Ti3C2O2,MXene,,NH3,,,-0.551,,,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,mxene,1,0.3
10.1039/D4CP04127E,Physical Chemistry Chemical Physics,2025,Ti3C2O2,MXene,,NO,,,-0.403,,,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,mxene,1,0.3
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,N2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,3.807,,,,,,,,,,,,28.014,0.1,47.6,2,0,2,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,N2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,3.807,,,,,,,,,,,,28.014,0.1,47.6,2,0,2,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,N2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,2.936,,,,,,,,,,,,28.014,0.1,47.6,2,0,2,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,H2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,3.807,,,,,,,,,,,,2.016,0.0,0.0,0,0,0,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,H2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,3.807,,,,,,,,,,,,2.016,0.0,0.0,0,0,0,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,H2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,2.936,,,,,,,,,,,,2.016,0.0,0.0,0,0,0,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,CO2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,3.807,,,,,,,,,,,,44.009,0.9,34.1,3,0,2,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,CO2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,3.807,,,,,,,,,,,,44.009,0.9,34.1,3,0,2,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,CO2,Quantum ESPRESSO,PBE-GGA,0.4,0.067,2.936,,,,,,,,,,,,44.009,0.9,34.1,3,0,2,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,NH3,Quantum ESPRESSO,PBE-GGA,0.55,0.022,2.594,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,H2S,Quantum ESPRESSO,PBE-GGA,0.8,0.006,2.842,,,,,,,,,,,,34.08,0.5,1.0,1,1,1,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,H2O,Quantum ESPRESSO,PBE-GGA,0.63,0.004,2.401,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,CO2,Quantum ESPRESSO,PBE-GGA,1.38,1.273,2.089,,,,,,,,,,,,44.009,0.9,34.1,3,0,2,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,CO2,Quantum ESPRESSO,PBE-GGA,0.26,0.021,2.666,,,,,,,,,,,,44.009,0.9,34.1,3,0,2,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,CO2,Quantum ESPRESSO,PBE-GGA,0.28,0.039,2.979,,,,,,,,,,,,44.009,0.9,34.1,3,0,2,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,CO,Quantum ESPRESSO,PBE-GGA,1.07,0.989,1.478,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,CO,Quantum ESPRESSO,PBE-GGA,0.78,0.972,1.707,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,CO,Quantum ESPRESSO,PBE-GGA,0.73,0.499,2.26,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,NO,Quantum ESPRESSO,PBE-GGA,3.19,2.051,1.439,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,NO,Quantum ESPRESSO,PBE-GGA,3.19,2.051,1.439,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,NO,Quantum ESPRESSO,PBE-GGA,3.19,2.051,1.439,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,NO2,Quantum ESPRESSO,PBE-GGA,2.72,1.058,2.193,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,NO2,Quantum ESPRESSO,PBE-GGA,2.47,0.871,2.394,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,NO2,Quantum ESPRESSO,PBE-GGA,2.32,0.835,2.317,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,O2,Quantum ESPRESSO,PBE-GGA,3.64,1.342,2.111,,,,,,,,,,,,31.999,-1.1,34.1,2,0,2,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,O2,Quantum ESPRESSO,PBE-GGA,3.64,1.339,2.111,,,,,,,,,,,,31.999,-1.1,34.1,2,0,2,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,O2,Quantum ESPRESSO,PBE-GGA,2.61,1.261,2.086,,,,,,,,,,,,31.999,-1.1,34.1,2,0,2,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,SO2,Quantum ESPRESSO,PBE-GGA,1.93,0.827,1.874,,,,,,,,,,,,64.07,0.1,35.1,3,0,3,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,SO2,Quantum ESPRESSO,PBE-GGA,0.89,0.469,2.227,,,,,,,,,,,,64.07,0.1,35.1,3,0,3,mxene_defect,1,0.22
10.25073/2588-1124.v38n1.DJ.4653,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),MXene,,SO2,Quantum ESPRESSO,PBE-GGA,1.48,0.692,2.187,,,,,,,,,,,,64.07,0.1,35.1,3,0,3,mxene_defect,1,0.22
10.5162/IMCS2010/P1.3.21,Proceedings IMCS,2010,SnO2,Metal Oxide,,NH3,VASP,r-PBE,-1.14,,,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,metal_oxide,1,0.33
10.5162/IMCS2010/P1.3.21,Proceedings IMCS,2010,SnO2,Metal Oxide,,NH3,VASP,r-PBE,-0.73,,,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,metal_oxide,1,0.33
10.5162/IMCS2010/P1.3.21,Proceedings IMCS,2010,SnO2,Metal Oxide,,NH3,VASP,r-PBE,-1.58,,,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,metal_oxide,1,0.33
10.1039/D2CP01234H,Doctoral thesis / literature compilation (UCL),2022,SnO2,Metal Oxide,,NH3,,DFT-GGA,-1.29,,,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,metal_oxide,1,0.33
10.1039/D2CP01234H,Doctoral thesis / literature compilation (UCL),2022,SnO2,Metal Oxide,,NH3,,DFT-GGA,-1.85,,,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,metal_oxide,1,0.33
10.1039/D2CP01234H,Doctoral thesis / literature compilation (UCL),2022,SnO2,Metal Oxide,,NH3,,DFT-GGA,-0.81,,,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,metal_oxide,1,0.33
10.1039/D2CP01234H,Doctoral thesis / literature compilation (UCL),2022,SnO2,Metal Oxide,,NH3,,DFT-GGA,-1.32,,,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,metal_oxide,1,0.33
10.1039/D2CP01234H,Doctoral thesis / literature compilation (UCL),2022,SnO2,Metal Oxide,,NH3,,DFT-GGA,-1.92,,,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,metal_oxide,1,0.33
10.1039/D2CP01234H,Doctoral thesis / literature compilation (UCL),2022,SnO2,Metal Oxide,,NH3,,DFT-GGA,-2.48,,,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,metal_oxide,1,0.33
10.1016/j.snb.2006.08.054,Sensors and Actuators B: Chemical,2006,SnO2,Metal Oxide,,NO,SIESTA,GGA,-1.2,,,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,metal_oxide,1,0.33
10.1088/1742-6596/3042/1/012026,Journal of Physics: Conference Series,2024,SnO2,Metal Oxide,,NO2,,,-0.004,,3.71,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,metal_oxide,1,0.33
10.1088/1742-6596/3042/1/012026,Journal of Physics: Conference Series,2024,SnO2,Metal Oxide,,NO2,,,-0.24,,2.99,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,metal_oxide,1,0.33
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,,NO,,,-0.54,0.085,2.1,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,,NO2,,,-0.94,0.04,2.15,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,,CO,,,-0.42,0.01,2.45,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,tmd,1,0.33
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,,CO2,,,-0.45,0.013,2.74,,,,,,,,,,,,44.009,0.9,34.1,3,0,2,tmd,1,0.33
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,,NH3,,,-0.49,0.085,2.79,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,,NO,,,-0.72,0.24,1.62,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,,NO2,,,-0.91,0.06,2.15,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,,CO,,,-0.43,0.01,2.39,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,tmd,1,0.33
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,,CO2,,,-0.47,0.016,2.56,,,,,,,,,,,,44.009,0.9,34.1,3,0,2,tmd,1,0.33
10.1039/C3NR06670C,Nanoscale,2014,MoS2,TMD,,NH3,,,-0.55,0.09,2.39,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1038/srep08052,Scientific Reports,2014,MoS2,TMD,,NO2,,HSE06,-0.14,,,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1038/srep08052,Scientific Reports,2014,MoS2,TMD,,NH3,,HSE06,-0.16,,,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,H2,CASTEP,GGA-PBE,-0.05927,-0.05,,1.721,,,,,,,,,,,2.016,0.0,0.0,0,0,0,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,N2,CASTEP,GGA-PBE,-0.10482,0.01,,1.721,,,,,,,,,,,28.014,0.1,47.6,2,0,2,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,CO,CASTEP,GGA-PBE,-0.12183,0.01,,1.721,,,,,,,,,,,28.010,0.7,1.0,2,0,1,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,CO2,CASTEP,GGA-PBE,-0.16891,-0.03,,1.721,,,,,,,,,,,44.009,0.9,34.1,3,0,2,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,CH4,CASTEP,GGA-PBE,-0.1711,-0.05,,1.721,,,,,,,,,,,16.043,0.6,0.0,1,0,0,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,H2O,CASTEP,GGA-PBE,-0.16602,-0.03,,1.721,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,NH3,CASTEP,GGA-PBE,-0.1776,-0.01,,1.721,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,NO,CASTEP,GGA-PBE,-0.21875,0.0,,1.721,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,NO2,CASTEP,GGA-PBE,-0.28799,-0.12,,1.721,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,vacancy,NH3,CASTEP,GGA-PBE,-0.17119,,,1.721,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,vacancy,NH3,CASTEP,GGA-PBE,-0.16164,,,1.721,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,vacancy,NO2,CASTEP,GGA-PBE,-1.02272,,,1.721,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,vacancy,NO2,CASTEP,GGA-PBE,-0.28291,,,1.721,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,vacancy,NO,CASTEP,GGA-PBE,-1.26054,,,1.721,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,vacancy,NO,CASTEP,GGA-PBE,-3.0592,,,1.721,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,NH3,CASTEP,GGA-PBE,-0.20828,,,1.721,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,NH3,CASTEP,GGA-PBE,-0.241,,,1.721,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,NH3,CASTEP,GGA-PBE,-0.25679,,,1.721,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,NO2,CASTEP,GGA-PBE,-0.31376,,,1.721,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,NO2,CASTEP,GGA-PBE,-0.32481,,,1.721,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,NO2,CASTEP,GGA-PBE,-0.34074,,,1.721,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,NO,CASTEP,GGA-PBE,-0.22992,,,1.721,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,NO,CASTEP,GGA-PBE,-0.25684,,,1.721,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1088/2053-1591/ac021d,Materials Research Express,2021,MoS2,TMD,,NO,CASTEP,GGA-PBE,-0.27902,,,1.721,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1016/j.cplett.2018.10.057,Chemical Physics Letters,2018,Al-doped MoS2,TMD,Al,SO2,,DFT,-2.33,-0.343,1.763,,,,,,,,,,,,64.07,0.1,35.1,3,0,3,tmd_doped,1,0.34
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,H2,VASP,LDA,-0.068,,2.86,,,,,,,,,,,,2.016,0.0,0.0,0,0,0,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,H2,VASP,LDA,-0.075,,2.86,,,,,,,,,,,,2.016,0.0,0.0,0,0,0,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,H2,VASP,LDA,-0.037,,2.87,,,,,,,,,,,,2.016,0.0,0.0,0,0,0,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,O2,VASP,LDA,-0.184,,2.62,,,,,,,,,,,,31.999,-1.1,34.1,2,0,2,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,O2,VASP,LDA,-0.213,,2.49,,,,,,,,,,,,31.999,-1.1,34.1,2,0,2,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,O2,VASP,LDA,-0.119,,3.09,,,,,,,,,,,,31.999,-1.1,34.1,2,0,2,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,H2O,VASP,LDA,-0.229,,2.63,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,H2O,VASP,LDA,-0.218,,2.68,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,H2O,VASP,LDA,-0.108,,3.14,,,,,,,,,,,,18.015,-0.5,1.0,1,1,1,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,NH3,VASP,LDA,-0.216,,2.49,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,NH3,VASP,LDA,-0.201,,2.76,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,NH3,VASP,LDA,-0.062,,3.25,,,,,,,,,,,,17.031,-0.7,1.0,1,1,1,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,NO,VASP,LDA,-0.129,,2.77,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,NO,VASP,LDA,-0.206,,2.77,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,NO,VASP,LDA,-0.099,,3.47,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,NO,VASP,LDA,-0.215,,2.76,,,,,,,,,,,,30.006,0.2,18.1,2,0,1,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,NO2,VASP,LDA,-0.412,,2.68,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,NO2,VASP,LDA,-0.354,,2.68,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,NO2,VASP,LDA,-0.333,,2.74,,,,,,,,,,,,46.006,-0.3,30.4,3,0,2,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,CO,VASP,LDA,-0.127,,2.9,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,CO,VASP,LDA,-0.111,,2.9,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,CO,VASP,LDA,-0.031,,2.95,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,tmd,1,0.33
10.1063/1.4922049,Journal of Chemical Physics,2015,WS2,TMD,,CO,VASP,LDA,-0.075,,2.9,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,tmd,1,0.33
10.3390/computation11120235,Computation,2023,Graphene,2D Carbon,,SO2,DMol3,GGA-PBE,-0.32,-0.095,,,,,,,,,,,,,64.07,0.1,35.1,3,0,3,carbon_2d,1,0.0
10.3390/computation11120235,Computation,2023,N-doped Graphene,2D Carbon,N,SO2,DMol3,GGA-PBE,-0.48,-0.236,,,,,,,,,,,,,64.07,0.1,35.1,3,0,3,carbon_2d,1,0.01
10.3390/computation11120235,Computation,2023,Ga-doped Graphene,2D Carbon,Ga,SO2,DMol3,GGA-PBE,-2.61,-0.148,,,,,,,,,,,,,64.07,0.1,35.1,3,0,3,carbon_2d,1,0.02
10.3390/computation11120235,Computation,2023,N-Ga co-doped Graphene,2D Carbon,N-Ga,SO2,DMol3,GGA-PBE,-2.75,-0.258,,,,,,,,,,,,,64.07,0.1,35.1,3,0,3,carbon_2d,1,0.04
10.3390/computation11120235,Computation,2023,N-Ga co-doped Graphene,2D Carbon,N-Ga,SO2,DMol3,GGA-PBE,-2.55,-0.214,,,,,,,,,,,,,64.07,0.1,35.1,3,0,3,carbon_2d,1,0.04
10.3390/computation11120235,Computation,2023,N-Ga co-doped Graphene,2D Carbon,N-Ga,SO2,DMol3,GGA-PBE,-2.53,-0.218,,,,,,,,,,,,,64.07,0.1,35.1,3,0,3,carbon_2d,1,0.04
10.3390/molecules29215086,Molecules,2024,Co-MoTe2,TMD,Co,CO,CASTEP,GGA-PBE,-0.167,-0.032,3.522,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,tmd_decorated,1,0.36
10.3390/molecules29215086,Molecules,2024,Co-MoTe2,TMD,Co,CH3CHO,CASTEP,GGA-PBE,-0.392,-0.084,3.288,,,,,,,,,,,,44.05,-0.3,17.1,3,0,1,tmd_decorated,1,0.36
10.3390/molecules29215086,Molecules,2024,Co-MoTe2,TMD,Co,C6H6,CASTEP,GGA-PBE,-0.667,-0.083,3.558,,,,,,,,,,,,78.11,2.1,0.0,6,0,0,tmd_decorated,1,0.36
10.3390/molecules29215086,Molecules,2024,V-MoTe2,TMD,V,CO,CASTEP,GGA-PBE,-1.221,-0.832,1.925,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,tmd_decorated,1,0.36
10.3390/molecules29215086,Molecules,2024,V-MoTe2,TMD,V,CH3CHO,CASTEP,GGA-PBE,-0.405,-0.082,3.151,,,,,,,,,,,,44.05,-0.3,17.1,3,0,1,tmd_decorated,1,0.36
10.3390/molecules29215086,Molecules,2024,V-MoTe2,TMD,V,C6H6,CASTEP,GGA-PBE,-0.711,0.22,3.447,,,,,,,,,,,,78.11,2.1,0.0,6,0,0,tmd_decorated,1,0.36
10.3390/molecules29215086,Molecules,2024,W-MoTe2,TMD,W,CO,CASTEP,GGA-PBE,-0.515,-0.119,2.027,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,tmd_decorated,1,0.36
10.3390/molecules29215086,Molecules,2024,W-MoTe2,TMD,W,CH3CHO,CASTEP,GGA-PBE,-0.386,-0.079,3.383,,,,,,,,,,,,44.05,-0.3,17.1,3,0,1,tmd_decorated,1,0.36
10.3390/molecules29215086,Molecules,2024,W-MoTe2,TMD,W,C6H6,CASTEP,GGA-PBE,-0.618,-0.063,3.708,,,,,,,,,,,,78.11,2.1,0.0,6,0,0,tmd_decorated,1,0.36
10.3390/molecules29215086,Molecules,2024,Zr-MoTe2,TMD,Zr,CO,CASTEP,GGA-PBE,-0.592,-0.046,2.348,,,,,,,,,,,,28.010,0.7,1.0,2,0,1,tmd_decorated,1,0.36
