Record_ID,DOI,Title,Authors,Journal,Year,Material,Doping,Gas,Adsorption_Energy_eV,Charge_Transfer_e,Adsorption_Distance_A,DFT_Software,Functional,Data_Source,Extraction_Notes,Source_URL
78,10.1186/1556-276X-8-425,Adsorption of gas molecules on monolayer MoS2 and effect of applied electric field,"Ding Y, Wang Y, Ni J, Shi L, Shi S, Tang W",Nanoscale Research Letters,2013,MoS2,NA,CO,-0.128,0.004,2.95,VASP,LSDA,table,Table 1 LDA; negative Q = transfer from gas to MoS2,https://doi.org/10.1186/1556-276X-8-425
79,10.3762/bjnano.9.156,"Free-radical gases on two-dimensional transition-metal disulfides (XS2, X = Mo/W)","Li Y, Zhou J, Guo W",Beilstein Journal of Nanotechnology,2018,MoS2,NA,NO,-0.18,NA,2.839,NA,NA,table,Table 1; values originally reported in meV,https://doi.org/10.3762/bjnano.9.156
80,10.3762/bjnano.9.156,"Free-radical gases on two-dimensional transition-metal disulfides (XS2, X = Mo/W)","Li Y, Zhou J, Guo W",Beilstein Journal of Nanotechnology,2018,MoS2,NA,NO2,-0.233,NA,2.829,NA,NA,table,Table 1; values originally reported in meV,https://doi.org/10.3762/bjnano.9.156
81,10.3762/bjnano.9.156,"Free-radical gases on two-dimensional transition-metal disulfides (XS2, X = Mo/W)","Li Y, Zhou J, Guo W",Beilstein Journal of Nanotechnology,2018,WS2,NA,NO,-0.165,NA,2.735,NA,NA,table,Table 1; values originally reported in meV,https://doi.org/10.3762/bjnano.9.156
82,10.3762/bjnano.9.156,"Free-radical gases on two-dimensional transition-metal disulfides (XS2, X = Mo/W)","Li Y, Zhou J, Guo W",Beilstein Journal of Nanotechnology,2018,WS2,NA,NO2,-0.201,NA,2.931,NA,NA,table,Table 1; values originally reported in meV,https://doi.org/10.3762/bjnano.9.156
83,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Ti2CO2,NA,H2,-0.07,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
84,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Ti2CO2,NA,NH3,-0.37,-0.15,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
85,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Ti2CO2,NA,H2O,-0.21,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
86,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Ti2CO2,NA,CO,-0.13,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
87,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Ti2CO2,NA,CO2,-0.2,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
88,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Ti2CO2,NA,N2,-0.13,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
89,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Ti2CO2,NA,NO,-0.25,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
90,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Ti2CO2,NA,NO2,-0.17,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
91,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Ti2CO2,NA,H2S,-0.24,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
92,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Ti2CO2,NA,SO2,-0.26,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
93,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,V2CO2,NA,H2,-0.09,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
94,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,V2CO2,NA,NH3,-0.48,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
95,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,V2CO2,NA,H2O,-0.45,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
96,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,V2CO2,NA,CO,-0.14,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
97,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,V2CO2,NA,CO2,-0.36,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
98,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,V2CO2,NA,N2,-0.36,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
99,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,V2CO2,NA,NO,-0.73,-0.2,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
100,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,V2CO2,NA,NO2,-0.18,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
101,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,V2CO2,NA,H2S,-0.51,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
102,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,V2CO2,NA,SO2,-0.27,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
103,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Nb2CO2,NA,H2,-0.06,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
104,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Nb2CO2,NA,NH3,-0.5,-0.17,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
105,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Nb2CO2,NA,H2O,-0.2,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
106,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Nb2CO2,NA,CO,-0.12,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
107,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Nb2CO2,NA,CO2,-0.2,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
108,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Nb2CO2,NA,N2,-0.12,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
109,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Nb2CO2,NA,NO,-0.21,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
110,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Nb2CO2,NA,NO2,-0.18,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
111,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Nb2CO2,NA,H2S,-0.24,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
112,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Nb2CO2,NA,SO2,-0.29,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
113,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Mo2CO2,NA,NH3,-0.4,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
114,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Mo2CO2,NA,NO,-0.8,-0.22,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
115,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Mo2CO2,NA,H2S,-0.39,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
116,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Mo2CO2,NA,SO2,-0.28,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
117,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Mo2CO2,NA,NO2,-0.26,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
118,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Mo2CO2,NA,H2O,-0.21,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
119,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Mo2CO2,NA,CO2,-0.21,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
120,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Mo2CO2,NA,CO,-0.12,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
121,10.1039/C7CP08622A,Enhancement of the selectivity of MXenes via oxygen-functionalization,"Junkaew A, Arroyave R",Physical Chemistry Chemical Physics,2018,Mo2CO2,NA,N2,-0.12,NA,NA,VASP,PBE,table,Fig. 4 / main text PBE values; Bader for selected pairs,https://doi.org/10.1039/C7CP08622A
122,10.1039/D4CP04127E,Enhanced NH3 and NO sensing performance of Ti3C2O2 MXene by biaxial strain,NA,Physical Chemistry Chemical Physics,2025,Ti3C2O2,NA,CO,-0.096,NA,NA,NA,NA,table,0% biaxial strain=0%; work-function sensitivity %,https://doi.org/10.1039/D4CP04127E
123,10.1039/D4CP04127E,Enhanced NH3 and NO sensing performance of Ti3C2O2 MXene by biaxial strain,NA,Physical Chemistry Chemical Physics,2025,Ti3C2O2,NA,NH3,-0.344,NA,NA,NA,NA,table,0% biaxial strain=0%; work-function sensitivity %,https://doi.org/10.1039/D4CP04127E
124,10.1039/D4CP04127E,Enhanced NH3 and NO sensing performance of Ti3C2O2 MXene by biaxial strain,NA,Physical Chemistry Chemical Physics,2025,Ti3C2O2,NA,NO,-0.349,NA,NA,NA,NA,table,0% biaxial strain=0%; work-function sensitivity %,https://doi.org/10.1039/D4CP04127E
125,10.1039/D4CP04127E,Enhanced NH3 and NO sensing performance of Ti3C2O2 MXene by biaxial strain,NA,Physical Chemistry Chemical Physics,2025,Ti3C2O2,NA,NH3,-0.551,NA,NA,NA,NA,table,0% biaxial strain=4%; work-function sensitivity %,https://doi.org/10.1039/D4CP04127E
126,10.1039/D4CP04127E,Enhanced NH3 and NO sensing performance of Ti3C2O2 MXene by biaxial strain,NA,Physical Chemistry Chemical Physics,2025,Ti3C2O2,NA,NO,-0.403,NA,NA,NA,NA,table,0% biaxial strain=-2%; work-function sensitivity %,https://doi.org/10.1039/D4CP04127E
127,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,N2,0.4,0.067,3.807,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
128,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,N2,0.4,0.067,3.807,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
129,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,N2,0.4,0.067,2.936,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
130,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,H2,0.4,0.067,3.807,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
131,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,H2,0.4,0.067,3.807,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
132,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,H2,0.4,0.067,2.936,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
133,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,CO2,0.4,0.067,3.807,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
134,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,CO2,0.4,0.067,3.807,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
135,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,CO2,0.4,0.067,2.936,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
136,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,NH3,0.55,0.022,2.594,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
137,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,H2S,0.8,0.006,2.842,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
138,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,H2O,0.63,0.004,2.401,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
139,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,CO2,1.38,1.273,2.089,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
140,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,CO2,0.26,0.021,2.666,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
141,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,CO2,0.28,0.039,2.979,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
142,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,CO,1.07,0.989,1.478,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
143,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,CO,0.78,0.972,1.707,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
144,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,CO,0.73,0.499,2.26,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
145,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,NO,3.19,2.051,1.439,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
146,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,NO,3.19,2.051,1.439,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
147,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,NO,3.19,2.051,1.439,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
148,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,NO2,2.72,1.058,2.193,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
149,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,NO2,2.47,0.871,2.394,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
150,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,NO2,2.32,0.835,2.317,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
151,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,O2,3.64,1.342,2.111,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
152,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,O2,3.64,1.339,2.111,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
153,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,O2,2.61,1.261,2.086,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
154,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,SO2,1.93,0.827,1.874,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
155,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,SO2,0.89,0.469,2.227,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
156,10.25073/2588-1124.v38n1.DJ.4653,Gas adsorption on O-vacancy-containing Sc2CO2 monolayer,Khang PD et al.,VNU Journal of Science: Mathematics-Physics,2022,Sc2CO2 (O-vacancy),NA,SO2,1.48,0.692,2.187,Quantum ESPRESSO,PBE-GGA,table,Table 1 or Table 2; Q = transfer from monolayer to gas,https://doi.org/10.25073/2588-1124.v38n1.DJ.4653
157,10.5162/IMCS2010/P1.3.21,DFT study of NH3 adsorption on SnO2(110) surface,NA,Proceedings IMCS,2010,SnO2,NA,NH3,-1.14,NA,NA,VASP,r-PBE,table,Sn5c site; AMA proceedings,https://doi.org/10.5162/IMCS2010/P1.3.21
